[2025-10-04 12:31:23] [INFO    ] discord.client: logging in using static token
[2025-10-04 12:31:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-04 12:31:24] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-04 12:31:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1421868753179644015', 'username': 'bot-acus', 'avatar': 'b95b9c23115e861a8cdb150d54b0caf9', 'discriminator': '0800', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-04 12:31:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-04 12:31:24] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-04 12:31:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1421868753179644015', 'name': 'bot', 'icon': 'b95b9c23115e861a8cdb150d54b0caf9', 'description': 'bop', 'type': None, 'bot': {'id': '1421868753179644015', 'username': 'bot-acus', 'avatar': 'b95b9c23115e861a8cdb150d54b0caf9', 'discriminator': '0800', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8c3ee96a52ab37c29a09e9f962d99cdf5225f677d1d9d6993e27e7c2b0c78702', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '494631739793342465', 'username': 'panghys', 'avatar': 'ae18d5a7c6692dadb77671278e296b44', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 11341567, 'global_name': 'panghys', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#ad0eff', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-04 12:31:24] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-04 12:31:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-mrv1",{"micros":0.0}]']}}
[2025-10-04 12:31:24] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-04 12:31:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-04 12:31:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'bot-acus', 'primary_guild': None, 'mfa_enabled': False, 'id': '1421868753179644015', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0800', 'clan': None, 'bot': True, 'avatar': 'b95b9c23115e861a8cdb150d54b0caf9'}, 'session_type': 'normal', 'session_id': 'f3fafe3f3f48906a079e96996e01a2ab', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1414573912020484200'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santiago', 'buenos-aires', 'brazil', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1421868753179644015', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-mrv1",{"micros":141494,"calls":["id_created",{"micros":517,"calls":[]},"session_lookup_time",{"micros":298,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-127",{"micros":140230,"calls":["start_session",{"micros":97861,"calls":["discord-api-rpc-5cdf8c7555-qmxpr",{"micros":47188,"calls":["get_user",{"micros":7163},"get_guilds",{"micros":2428},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":334},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":39794},"apex_experiments",{"micros":284},"user_activities",{"micros":4},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":3582,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":38602,"calls":[]},"connect_finished",{"micros":38674,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-04 12:31:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-04 12:31:25] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: f3fafe3f3f48906a079e96996e01a2ab).
[2025-10-04 12:31:25] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-04 12:31:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_tier': 0, 'afk_channel_id': None, 'voice_states': [{'user_id': '494631739793342465', 'suppress': False, 'session_id': '0bbf8d3c5c0d518fafe69a7e1ba21e40', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1414573912678862853'}, {'user_id': '866711937369899038', 'suppress': False, 'session_id': 'c294b969789e776189e401e3f50b45bf', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1414573912678862853'}], 'nsfw_level': 0, 'discovery_splash': None, 'banner': None, 'emojis': [], 'member_count': 3, 'premium_subscription_count': 0, 'max_video_channel_users': 25, 'profile': None, 'lazy': True, 'activity_instances': [], 'system_channel_id': None, 'safety_alerts_channel_id': None, 'owner_configured_content_level': 0, 'unavailable': False, 'owner_id': '494631739793342465', 'id': '1414573912020484200', 'public_updates_channel_id': None, 'presences': [], 'name': 'testeo del bot', 'features': [], 'stickers': [], 'soundboard_sounds': [], 'afk_timeout': 300, 'latest_onboarding_question_id': None, 'hub_type': None, 'rules_channel_id': None, 'threads': [], 'stage_instances': [], 'moderator_reporting': None, 'description': None, 'large': False, 'splash': None, 'guild_scheduled_events': [], 'joined_at': '2025-09-28T14:43:22.463000+00:00', 'system_channel_flags': 0, 'premium_features': None, 'nsfw': False, 'verification_level': 0, 'home_header': None, 'vanity_url_code': None, 'members': [{'user': {'username': 'ohprettywaman', 'public_flags': 0, 'primary_guild': None, 'id': '866711937369899038', 'global_name': '4 cuartas', 'display_name_styles': None, 'display_name': '4 cuartas', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b350ec5b342e76d256daac1e248f7a65'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-04T15:30:57.604127+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'panghys', 'public_flags': 0, 'primary_guild': None, 'id': '494631739793342465', 'global_name': 'panghys', 'display_name_styles': None, 'display_name': 'panghys', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ae18d5a7c6692dadb77671278e296b44'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-08T11:31:42.225000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'bot-acus', 'public_flags': 0, 'primary_guild': None, 'id': '1421868753179644015', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0800', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b95b9c23115e861a8cdb150d54b0caf9'}, 'roles': ['1421869904826470543'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T14:43:22.463000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'panghys', 'public_flags': 0, 'primary_guild': None, 'id': '494631739793342465', 'global_name': 'panghys', 'display_name_styles': None, 'display_name': 'panghys', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ae18d5a7c6692dadb77671278e296b44'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-08T11:31:42.225000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ohprettywaman', 'public_flags': 0, 'primary_guild': None, 'id': '866711937369899038', 'global_name': '4 cuartas', 'display_name_styles': None, 'display_name': '4 cuartas', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b350ec5b342e76d256daac1e248f7a65'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-04T15:30:57.604127+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_id': None, 'embedded_activities': [], 'incidents_data': None, 'region': 'deprecated', 'explicit_content_filter': 0, 'premium_progress_bar_enabled': False, 'icon': None, 'max_stage_video_channel_users': 50, 'max_members': 25000000, 'inventory_settings': None, 'version': 1759144066455, 'application_command_counts': {}, 'default_message_notifications': 0, 'preferred_locale': 'en-US', 'roles': [{'version': 1757331102291, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1414573912020484200', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759070602419, 'unicode_emoji': None, 'tags': {'bot_id': '1421868753179644015'}, 'position': 1, 'permissions': '8', 'name': 'testeo-bot', 'mentionable': False, 'managed': True, 'id': '1421869904826470543', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'mfa_level': 0, 'channels': [{'version': 1757331102296, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1414573912678862850', 'flags': 0}, {'version': 1757331102299, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1414573912678862851', 'flags': 0}, {'version': 1757331102314, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1414573912678862851', 'name': 'General', 'last_message_id': None, 'id': '1414573912678862853', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1759143958366, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1414573912678862850', 'name': 'testing', 'last_message_id': '1424055740909355140', 'id': '1422177582140493956', 'flags': 0}]}}
[2025-10-04 12:31:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-04 12:31:25] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-04 12:31:27] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-04 12:31:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-04T15:31:42.159000+00:00', 'pinned': False, 'nonce': '1424056393928802304', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-08T11:31:42.225000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1424056394591633468', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!status', 'components': [], 'channel_type': 0, 'channel_id': '1422177582140493956', 'author': {'username': 'panghys', 'public_flags': 0, 'primary_guild': None, 'id': '494631739793342465', 'global_name': 'panghys', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'ae18d5a7c6692dadb77671278e296b44'}, 'attachments': [], 'guild_id': '1414573912020484200'}}
[2025-10-04 12:31:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-04 12:31:42] [DEBUG   ] discord.client: Dispatching event message
[2025-10-04 12:31:42] [DEBUG   ] discord.client: Dispatching event command
[2025-10-04 12:31:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-04T15:31:42.521000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1421869904826470543'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T14:43:22.463000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1424056396109975684', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'sigue andando el bot -> panghys', 'components': [], 'channel_type': 0, 'channel_id': '1422177582140493956', 'author': {'username': 'bot-acus', 'public_flags': 0, 'primary_guild': None, 'id': '1421868753179644015', 'global_name': None, 'display_name_styles': None, 'discriminator': '0800', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b95b9c23115e861a8cdb150d54b0caf9'}, 'attachments': [], 'guild_id': '1414573912020484200'}}
[2025-10-04 12:31:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-04 12:31:42] [DEBUG   ] discord.client: Dispatching event message
[2025-10-04 12:31:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1422177582140493956/messages with {"content":"sigue andando el bot -> panghys","components":[],"tts":false} has returned 200
[2025-10-04 12:31:42] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-04 12:31:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1422177582140493956/messages has received {'type': 0, 'content': 'sigue andando el bot -> panghys', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-04T15:31:42.521000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1424056396109975684', 'channel_id': '1422177582140493956', 'author': {'id': '1421868753179644015', 'username': 'bot-acus', 'avatar': 'b95b9c23115e861a8cdb150d54b0caf9', 'discriminator': '0800', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}
[2025-10-04 12:31:42] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-04 12:31:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '866711937369899038', 'timestamp': 1759591904, 'member': {'user': {'username': 'ohprettywaman', 'public_flags': 0, 'primary_guild': None, 'id': '866711937369899038', 'global_name': '4 cuartas', 'display_name_styles': None, 'display_name': '4 cuartas', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b350ec5b342e76d256daac1e248f7a65'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-04T15:30:57.604127+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1422177582140493956', 'guild_id': '1414573912020484200'}}
[2025-10-04 12:31:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-04 12:31:44] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-04 12:31:44] [DEBUG   ] discord.client: Dispatching event raw_typing
